Date,Region,SalesRep,Customer,Category,Product,Revenue,COGS,OperatingExpense,Units,BudgetRevenue
2026-04-14,East,Riley,Customer 46,Services,Support,39373.38,20557.04,5134.03,20,40830.05
2026-10-15,South,Jordan,Customer 15,Services,Consulting,19518.41,8821.52,2877.92,16,18654.29
2026-10-11,South,Jordan,Customer 32,Software,ERP,5995.37,2132.16,1030.96,15,5815.27
2026-08-30,West,Casey,Customer 29,Software,Analytics,5656.22,2481.11,1106.39,4,5746.94
2025-09-21,East,Taylor,Customer 43,Software,ERP,19980.01,9081.06,3428.75,8,19576.85
2025-03-14,East,Casey,Customer 3,Hardware,Dock,3522.07,1257.34,687.39,9,3788.97
2025-11-05,South,Casey,Customer 4,Software,Analytics,27696.36,9930.99,3056.27,20,26610.67
2025-11-21,West,Morgan,Customer 11,Services,Support,9539.75,4686.88,1424.28,18,10012.52
2025-09-18,West,Jordan,Customer 26,Hardware,Dock,11038.32,5875.99,1383.11,6,11583.22
2026-08-12,South,Alex,Customer 47,Hardware,Dock,7635.41,3065.23,1299.84,8,7453.89
2025-12-20,West,Taylor,Customer 8,Software,ERP,20945.32,8480.34,3730.46,14,20981.71
2025-03-06,East,Casey,Customer 43,Hardware,Monitor,6832.25,3555.16,1004.15,25,7334.77
2026-02-03,South,Alex,Customer 7,Software,Analytics,25290.49,12990.91,4346.61,12,25448.83
2026-06-18,West,Morgan,Customer 13,Services,Consulting,3541.24,1835.67,682.31,5,3471.03
2026-04-02,East,Casey,Customer 49,Services,Support,2103.9,761.91,212.13,1,2247.95
2026-10-06,West,Riley,Customer 4,Services,Support,17467.98,9590.66,3539.74,7,16960.76
2025-10-06,North,Alex,Customer 8,Hardware,Dock,16403.47,6579.98,3514.05,15,16229.39
2026-10-26,East,Taylor,Customer 20,Services,Training,46924.4,23942,8270.93,20,48852.35
2025-04-12,West,Casey,Customer 35,Services,Support,18973.24,8861.91,3747.26,9,18705
2025-05-09,West,Alex,Customer 36,Services,Support,1198.63,539.99,221.42,2,1182.88
2025-10-07,North,Jordan,Customer 45,Services,Support,31160.25,14994.14,4596.23,20,30056.61
2026-03-02,North,Riley,Customer 38,Services,Consulting,34006.93,15478.6,5069.22,16,36531.98
2026-11-28,North,Jordan,Customer 16,Software,ERP,37308.17,18082.21,7807.47,16,38206.64
2025-07-21,West,Alex,Customer 5,Hardware,Dock,3595.2,1630.41,704.68,9,3751.57
2026-02-01,West,Riley,Customer 5,Hardware,Dock,12267.98,4344.88,2421.8,24,12666.98
2025-04-16,West,Alex,Customer 11,Services,Training,3497.1,1827.61,409.43,14,3343.37
2026-09-04,West,Casey,Customer 35,Hardware,Laptop,11070.58,4465.64,2357.79,5,11589.95
2025-03-04,West,Taylor,Customer 44,Services,Training,8046.59,3562.33,1554.84,4,8568.11
2025-11-11,North,Taylor,Customer 30,Hardware,Laptop,4340.97,1943.71,875.77,6,4384.93
2025-07-10,East,Jordan,Customer 9,Software,ERP,1879.26,707.29,298.89,6,1995.25
2026-03-11,East,Jordan,Customer 35,Software,ERP,4832.48,2509.56,759.54,12,4897.24
2026-11-20,North,Riley,Customer 26,Software,CRM,22972.06,12072.77,4981.86,16,24551.08
2025-06-21,South,Taylor,Customer 45,Hardware,Laptop,5813.09,3065.44,675.19,4,6131.05
2026-11-26,North,Morgan,Customer 1,Hardware,Laptop,19764.85,9824.32,2832.38,18,20521.07
2026-01-29,South,Taylor,Customer 4,Services,Support,17305.48,8750.9,3199.31,10,17221.31
2025-02-26,West,Jordan,Customer 35,Hardware,Dock,7048.92,3702.85,1439.99,10,7253.73
2025-10-19,East,Casey,Customer 39,Services,Consulting,11559.18,5045.26,2444.4,17,11282.11
2025-06-13,South,Riley,Customer 4,Services,Consulting,17482.33,6211.89,2154.16,23,17981.52
2025-05-22,South,Riley,Customer 28,Software,CRM,21771.64,9466.47,2616.33,16,22636.19
2026-09-29,North,Casey,Customer 33,Hardware,Laptop,20105.44,8654.44,4412.61,19,20732.65
2025-08-24,North,Alex,Customer 8,Software,Analytics,32343.23,15065.69,6394.49,17,31817.17
2026-08-12,South,Casey,Customer 5,Software,CRM,32474.95,11547.67,6457.85,18,34516.26
2026-01-02,South,Taylor,Customer 30,Hardware,Laptop,14765.94,6532.03,2124.03,13,15375.61
2026-05-23,East,Alex,Customer 1,Services,Support,14254.87,6043.82,2158.83,22,13786.26
2026-03-29,North,Taylor,Customer 28,Software,CRM,36866.01,13971.6,4270.7,18,39151.98
2025-11-09,East,Morgan,Customer 45,Hardware,Laptop,5330,1913.71,888.7,5,5390.27
2025-09-19,South,Taylor,Customer 21,Software,Analytics,22445.08,11462.01,2381.24,21,21372.17
2026-06-18,South,Taylor,Customer 43,Services,Consulting,29090.47,11960.1,3619.42,12,30403.62
2026-03-22,North,Riley,Customer 17,Software,CRM,5502.76,2598.63,1135.68,17,5535.12
2026-06-30,West,Riley,Customer 21,Software,Analytics,54862.66,21916.64,6959.23,22,52282.25
2026-11-06,North,Alex,Customer 31,Services,Training,42815.9,19580.81,4427.44,19,43381.5
2025-08-28,West,Alex,Customer 33,Software,CRM,5992.67,3152.49,686.79,12,6089.26
2026-02-05,West,Jordan,Customer 29,Services,Consulting,1327.35,618.3,249.84,1,1275.82
2026-04-18,North,Morgan,Customer 42,Services,Consulting,42078.18,21419.31,4927.69,20,44668
2026-05-30,South,Taylor,Customer 32,Software,CRM,42536.73,15709.65,6482.13,22,41745.55
2025-06-30,East,Jordan,Customer 35,Hardware,Monitor,43019.01,19835.93,5326.29,24,43757.92
2025-10-09,North,Alex,Customer 36,Software,CRM,11693.75,5517.53,2482.06,20,12608.87
2025-11-13,South,Jordan,Customer 24,Software,ERP,6958.56,3615.22,1397.15,4,7185.67
2026-03-23,West,Morgan,Customer 16,Software,Analytics,10009.45,5028.84,1992.41,13,9817.49
2026-03-24,West,Jordan,Customer 25,Software,CRM,13815.39,5222.71,2930.35,7,13829.35
2026-04-27,North,Riley,Customer 26,Services,Training,16945.74,6170.13,1707.39,8,16984.52
2025-11-11,East,Riley,Customer 49,Services,Support,30338.31,11948.32,4092.72,16,32497.69
